------------------------------------------------------------------
Benchmark                        Time             CPU   Iterations
InversionCount/28672       1083172 ns      1083164 ns          639
InversionCount/29184       1134202 ns      1134194 ns          616
InversionCount/29696       1159517 ns      1159510 ns          587
InversionCount/30208       1167303 ns      1167306 ns          592
InversionCount/30720       1165060 ns      1165061 ns          593
InversionCount/31232       1211842 ns      1211843 ns          569
InversionCount/31744       1200136 ns      1200124 ns          579
InversionCount/32256       1232039 ns      1232031 ns          561
InversionCount/32768       1249494 ns      1249485 ns          548
InversionCount/33280       1302776 ns      1302767 ns          536
InversionCount/33792       1325384 ns      1325386 ns          520
InversionCount/34304       1285080 ns      1285082 ns          541
InversionCount/34816       1364359 ns      1364360 ns          506
InversionCount/35328       1404739 ns      1404724 ns          491
InversionCount/35840       1427666 ns      1427668 ns          484
InversionCount/36352       1436489 ns      1436479 ns          484
InversionCount/36864       1457604 ns      1457594 ns          474
InversionCount/37376       1482845 ns      1482849 ns          461
InversionCount/37888       1524735 ns      1524738 ns          461
InversionCount/38400       1523951 ns      1523939 ns          451
InversionCount/38912       1540772 ns      1540760 ns          455
InversionCount/39424       1587870 ns      1587856 ns          431
InversionCount/39936       1576504 ns      1576492 ns          443
InversionCount/40448       1596652 ns      1596639 ns          425
InversionCount/40960       1612969 ns      1612971 ns          435
InversionCount/41472       1650820 ns      1650822 ns          413
InversionCount/41984       1683570 ns      1683572 ns          403
InversionCount/42496       1701656 ns      1701643 ns          401
InversionCount/43008       1694365 ns      1694353 ns          411
InversionCount/43520       1741087 ns      1741074 ns          401
