------------------------------------------------------------------
Benchmark                        Time             CPU   Iterations
InversionCount/5120         701979 ns       701975 ns          989
InversionCount/5632         784955 ns       784956 ns          883
InversionCount/6144         871753 ns       871755 ns          800
InversionCount/6656         957875 ns       957869 ns          726
InversionCount/7168        1051415 ns      1051408 ns          654
InversionCount/7680        1142280 ns      1142271 ns          608
InversionCount/8192        1242419 ns      1242421 ns          565
InversionCount/8704        1334504 ns      1334507 ns          523
InversionCount/9216        1434345 ns      1434347 ns          488
InversionCount/9728        1533033 ns      1533021 ns          455
InversionCount/10240       1631109 ns      1631100 ns          428
InversionCount/10752       1730513 ns      1730501 ns          404
InversionCount/11264       1826748 ns      1826731 ns          380
InversionCount/11776       1939116 ns      1939100 ns          361
InversionCount/12288       2040231 ns      2040220 ns          342
InversionCount/12800       2155128 ns      2155116 ns          325
InversionCount/13312       2260160 ns      2260145 ns          310
InversionCount/13824       2367622 ns      2367627 ns          298
InversionCount/14336       2474332 ns      2474337 ns          283
InversionCount/14848       2611575 ns      2611578 ns          270
InversionCount/15360       2714609 ns      2714617 ns          257
InversionCount/15872       2820236 ns      2820242 ns          248
InversionCount/16384       2912764 ns      2912769 ns          241
InversionCount/16896       3020150 ns      3020154 ns          232
InversionCount/17408       3127874 ns      3127856 ns          224
InversionCount/17920       3239451 ns      3239458 ns          216
InversionCount/18432       3353502 ns      3353519 ns          209
InversionCount/18944       3467242 ns      3467248 ns          202
InversionCount/19456       3574169 ns      3574148 ns          196
InversionCount/19968       3706514 ns      3706494 ns          189
InversionCount/20480       3829441 ns      3829418 ns          184
InversionCount/20992       3951696 ns      3951703 ns          177
InversionCount/21504       4075045 ns      4075050 ns          171
InversionCount/22016       4192557 ns      4192532 ns          167
InversionCount/22528       4329366 ns      4329375 ns          162
InversionCount/23040       4472988 ns      4472966 ns          158
InversionCount/23552       4570670 ns      4570628 ns          154
InversionCount/24064       4682293 ns      4682298 ns          150
InversionCount/24576       4797078 ns      4797051 ns          146
InversionCount/25088       4935232 ns      4935244 ns          143
InversionCount/25600       5053457 ns      5053468 ns          135
InversionCount/26112       5144163 ns      5144113 ns          134
InversionCount/26624       5288495 ns      5288503 ns          131
InversionCount/27136       5404566 ns      5404500 ns          129
InversionCount/27648       5538464 ns      5538427 ns          125
InversionCount/28160       5657365 ns      5657374 ns          122
InversionCount/28672       5789339 ns      5789297 ns          118
InversionCount/29184       5925503 ns      5925472 ns          117
InversionCount/29696       6039134 ns      6039101 ns          114
InversionCount/30208       6193464 ns      6193473 ns          112
InversionCount/30720       6302504 ns      6302455 ns          110
InversionCount/31232       6402788 ns      6402737 ns          108
