------------------------------------------------------------------
Benchmark                        Time             CPU   Iterations
InversionCount/491            5611 ns         5611 ns       138817
InversionCount/492            5552 ns         5552 ns       100000
InversionCount/493            5624 ns         5624 ns       100000
InversionCount/494            5691 ns         5691 ns       124478
InversionCount/495            5572 ns         5572 ns       100000
InversionCount/496            5506 ns         5506 ns       123712
InversionCount/497            5703 ns         5703 ns       122634
InversionCount/498            5798 ns         5798 ns       125972
InversionCount/499            5815 ns         5815 ns       125844
InversionCount/500            5722 ns         5722 ns       130706
InversionCount/501            5570 ns         5570 ns       119503
InversionCount/502            5353 ns         5353 ns       100000
InversionCount/503            5903 ns         5903 ns       100000
InversionCount/504            4871 ns         4871 ns       147351
InversionCount/505            5398 ns         5398 ns       100000
InversionCount/506            5721 ns         5721 ns       127825
InversionCount/507            5784 ns         5784 ns       122192
InversionCount/508            5999 ns         5999 ns       116706
InversionCount/509            5931 ns         5931 ns       126247
InversionCount/510            5855 ns         5855 ns       122562
InversionCount/511            5880 ns         5880 ns       119800
InversionCount/512            6153 ns         6153 ns       113028
InversionCount/1024          14217 ns        14217 ns        49882
InversionCount/1536          22027 ns        22027 ns        31778
InversionCount/2048          31308 ns        31308 ns        22099
InversionCount/2560          42113 ns        42113 ns        16505
InversionCount/3072          47208 ns        47208 ns        14936
InversionCount/3584          55038 ns        55038 ns        12743
InversionCount/4096          67265 ns        67263 ns        10426
InversionCount/4608          78704 ns        78704 ns         8799
InversionCount/5120          91308 ns        91308 ns         7701
InversionCount/5632         102829 ns       102828 ns         6819
InversionCount/6144         101468 ns       101467 ns         6932
InversionCount/6656         113502 ns       113502 ns         6172
InversionCount/7168         118100 ns       118100 ns         5924
InversionCount/7680         126413 ns       126411 ns         5480
InversionCount/8192         171905 ns       171903 ns         4108
InversionCount/8704         184098 ns       184097 ns         3749
InversionCount/9216         195626 ns       195624 ns         3570
InversionCount/9728         208243 ns       208240 ns         3291
InversionCount/10240        214514 ns       214512 ns         3295
InversionCount/10752        227135 ns       227133 ns         3073
InversionCount/11264        235687 ns       235685 ns         2977
InversionCount/11776        246005 ns       246003 ns         2847
InversionCount/12288        258649 ns       258647 ns         2739
InversionCount/12800        269283 ns       269281 ns         2590
InversionCount/13312        281421 ns       281420 ns         2518
InversionCount/13824        287430 ns       287428 ns         2390
InversionCount/14336        300409 ns       300407 ns         2320
InversionCount/14848        309873 ns       309871 ns         2226
InversionCount/15360        322917 ns       322915 ns         2184
InversionCount/15872        332039 ns       332035 ns         2056
InversionCount/16384        335230 ns       335228 ns         2153
InversionCount/16896        379797 ns       379795 ns         1853
InversionCount/17408        395025 ns       395026 ns         1765
InversionCount/17920        404893 ns       404894 ns         1714
InversionCount/18432        417481 ns       417479 ns         1643
InversionCount/18944        428167 ns       428165 ns         1590
InversionCount/19456        441257 ns       441253 ns         1564
InversionCount/19968        454089 ns       454086 ns         1542
InversionCount/20480        474974 ns       474974 ns         1486
InversionCount/20992        487809 ns       487806 ns         1445
InversionCount/21504        495601 ns       495602 ns         1357
InversionCount/22016        511566 ns       511562 ns         1368
InversionCount/22528        525337 ns       525333 ns         1341
InversionCount/23040        535057 ns       535058 ns         1290
InversionCount/23552        551132 ns       551123 ns         1267
InversionCount/24064        560265 ns       560266 ns         1238
InversionCount/24576        494141 ns       494141 ns         1406
InversionCount/25088        570501 ns       570502 ns         1246
InversionCount/25600        579208 ns       579209 ns         1241
InversionCount/26112        589520 ns       589521 ns         1195
InversionCount/26624        610094 ns       610094 ns         1139
InversionCount/27136        622462 ns       622463 ns         1117
InversionCount/27648        632006 ns       632007 ns         1109
InversionCount/28160        650343 ns       650344 ns         1080
InversionCount/28672        572951 ns       572952 ns         1225
InversionCount/29184        653524 ns       653525 ns         1063
InversionCount/29696        672816 ns       672812 ns         1093
InversionCount/30208        692248 ns       692244 ns         1011
InversionCount/30720        617677 ns       617673 ns         1158
InversionCount/31232        699142 ns       699144 ns          968
InversionCount/31744        641422 ns       641404 ns         1076
InversionCount/32256        641717 ns       641714 ns         1084
InversionCount/32768        781927 ns       781923 ns          890
InversionCount/33280        804707 ns       804697 ns          892
InversionCount/33792        808546 ns       808548 ns          862
InversionCount/34304        837458 ns       837455 ns          874
InversionCount/34816        843933 ns       843928 ns          851
InversionCount/35328        859672 ns       859664 ns          808
InversionCount/35840        869702 ns       869696 ns          831
InversionCount/36352        877554 ns       877555 ns          800
InversionCount/36864        912331 ns       912305 ns          781
InversionCount/37376        917675 ns       917669 ns          768
InversionCount/37888        931400 ns       931394 ns          770
InversionCount/38400        940646 ns       940640 ns          746
InversionCount/38912        961276 ns       961277 ns          723
InversionCount/39424       1071409 ns      1071410 ns          536
InversionCount/39936       1027129 ns      1027078 ns          581
InversionCount/40448        994134 ns       994124 ns          715
InversionCount/40960       1030606 ns      1030597 ns          694
InversionCount/41472       1039947 ns      1039949 ns          679
InversionCount/41984       1044713 ns      1044715 ns          685
InversionCount/42496       1060506 ns      1060498 ns          668
InversionCount/43008       1065507 ns      1065490 ns          644
InversionCount/43520       1084301 ns      1084293 ns          645
InversionCount/44032       1095046 ns      1095038 ns          641
InversionCount/44544       1106825 ns      1106826 ns          624
InversionCount/45056       1137019 ns      1137023 ns          619
